partner_code,partner_name
862,Venezuela
842,USA
604,Peru
558,Nicaragua
484,Mexico
320,Guatemala
218,Ecuador
192,Cuba
188,Costa Rica
170,Colombia
124,Canada
32,Argentina
56,Belgium
76,Brazil
152,Chile
276,Germany
724,Spain
251,France
528,Netherlands
388,Jamaica
156,China
372,Ireland
208,Denmark
328,Guyana
344,"China, Hong Kong SAR"
360,Indonesia
392,Japan
579,Norway
608,Philippines
704,Viet Nam
858,Uruguay
340,Honduras
410,Rep. of Korea
458,Malaysia
699,India
490,"Other Asia, nes (Taiwan)"
826,United Kingdom
616,Poland
554,New Zealand
422,Lebanon
36,Australia
381,Italy
100,Bulgaria
203,Czech Rep.
757,Switzerland
764,Thailand
222,El Salvador
710,South Africa
376,Israel
300,Greece
144,Sri Lanka
703,Slovakia
702,Singapore
533,Aruba
530,Neth. Antilles
740,Suriname
214,Dominican Rep.
752,Sweden
804,Ukraine
428,Latvia
600,Paraguay
598,Papua New Guinea
68,Bolivia
40,Austria
792,Turkey
620,Portugal
780,Trinidad and Tobago
784,United Arab Emirates
246,Finland
28,Antigua and Barbuda
818,Egypt
643,Russian Federation
52,Barbados
196,Cyprus
84,Belize
50,Bangladesh
44,Bahamas
332,Haiti
688,Serbia
470,Malta
788,Tunisia
524,Nepal
31,Azerbaijan
624,Guinea-Bissau
586,Pakistan
450,Madagascar
384,Cï¿½te d'Ivoire
705,Slovenia
348,Hungary
642,Romania
400,Jordan
682,Saudi Arabia
762,Tajikistan
480,Mauritius
473,"LAIA, nes"
504,Morocco
368,Iraq
8,Albania
60,Bermuda
233,Estonia
887,Yemen
116,Cambodia
634,Qatar
404,Kenya
212,Dominica
51,Armenia
894,Zambia
446,"China, Macao SAR"
760,Syria
414,Kuwait
512,Oman
440,Lithuania
96,Brunei Darussalam
834,United Rep. of Tanzania
364,Iran
352,Iceland
304,Greenland
70,Bosnia Herzegovina
577,"Other Africa, nes"
662,Saint Lucia
674,San Marino
308,Grenada
